objectid,filename,title,format,latitude,longitude,date,subject,location,description,language
001,C2-G2-001.pdf,Intersección calle Kaiser con torre de reloj,application/pdf,50.110556,8.682222,1911,Intersección; peatones; carroza; caballos,"Torre del reloj, Frankfurt, Alemania","fotografía sepia de la intersección entre la calle del Kaiser con la torre del reloj
",De
002,C2-G2-002.pdf,Grand Hotel Frankfurter Hof,application/pdf,50.115278,8.684167,1911,Hotel; peatones; carroza; caballos,"Grand Hotel Frankfurter Hof, Frankfurt, Alemania",Ilustración a color del Grand Hotel Frankfurter Hof,De
003,C2-G2-003.pdf,Puente en el lago del Zoologier Garten,application/pdf,52.512587,13.335608,1911,Puente; edificio; peatones; lago,"Zoologier garten, Frankfurt, Alemania",Ilustración en blanco y negro del puente en el jardín zoológico de Frankfurt,De
004,C2-G2-004.pdf,Iglesia y pueblo de Frankfurt,application/pdf,50.110359,8.682314,1911,Iglesia; casas; peatones,"Frankfurt, Alemania",Fotografía a color de la iglesia y pueblo de Frankfurt,De
005,C2-G2-005.pdf,Puente de la iglesia,application/pdf,50.115278,8.684167,1911,Iglesia; puente; arboles,"Bad Nauheim, Frankfurt, Alemania",Ilustración a color del puente que conduce a la iglesia en Bad Nauheim,De
006,C2-G2-006.pdf,Wallraffsplatz y calle principal,application/pdf,49.412388,8.709677,1911,Plaza; edificios; peatones; carrozas; caballos,"Wallraffsplatz, Frankfurt, Alemania",Fotografía sepia de la Wallraffsplatz y calle principal,De
007,C2-G2-007.pdf,Castillo en el lago de Heidelberg,application/pdf,49.410680,8.715530,1911,Torre; barco; ruinas; lago; muelle; personas,"Heidelberg, Alemania",Ilustración a color de la torre en el lago de Heildelberg,De
008,C2-G2-008.pdf,Terraza de la kurhaus,application/pdf,52.114461,4.278791,1911,balneario; terraza; peatones,"Bad Nauheim, Frankfurt, Alemania",Ilustración a color de la terraza de la kurhaus,De
009,C2-G2-009.pdf,Escalera de entrada a la kurhaus,application/pdf,52.114461,4.278791,1911,balneario; escaleras; peatón,"Bad Nauheim, Frankfurt, Alemania",Ilustración a color de la entrada de la kurhaus,De
010,C2-G2-010.pdf,Lado sur de la catedral,application/pdf,50.110922,8.682127,1911,Catedral; edificios,"Frankfurt, Alemania",Fotografía sepia del lado sur de la catedral,De
011,C2-G2-011.pdf,Teckels de pelo largo,application/pdf,50.115278,8.684167,1911,Teckel negro; teckel café,"Frankfurt, Alemania",Ilustración a color de un par de perros raza Dachshund,De
012,C2-G2-012.pdf,Jardín del Grand Hotel Frankfurter Hof,application/pdf,50.111162,8.674908,1911,Grand Hotel; jardín; peatones; carroza; caballos,"Grand Hotel Frankfurter Hof, Frankfurt, Alemania",Ilustración a color del jardín del Grand Hotel  Frankfurter Hof,De
013,C2-G2-013.pdf,Basílica de San Antonio ,application/pdf,45.401245,11.880337,1912,Basilica; edificios,"Padua, Italia",Ilustración a color de la Basílica de San Antonio,It
014,C2-G2-014.pdf,Prado del valle y canal ecicloidal,application/pdf,45.407969,11.885861,1912,Canal; edificios; puente,"Padua, Italia",Ilustración a color del canal ecicloidal,It
015,C2-G2-015.pdf,Santuario de Nuestra Virgen de la Costa,application/pdf,43.815833,7.773056,1912,Santuario; peatones,"San Remo, Italia",Ilustración a color del Santuario de Nuestra Virgen de la Costa,It
016,C2-G2-016.pdf,El Puente Molino ,application/pdf,45.409299,11.885861,1912,Puente; edificios; peatones; tranvía,"Padua, Italia",Ilustación a color del Puente Molino,It
017,C2-G2-017.pdf,Caballero de Rojo,application/pdf,41.902222,12.453333,1912,Persona,Ciudad del Vaticano,Ilustración a color de un caballero de rojo,It
018,C2-G2-018.pdf,Iglesia del Santo,application/pdf,45.407969,11.885861,1912,Iglesia,"Padua, Italia",Ilustración a color de la Iglesia del Santo,It
019,C2-G2-019.pdf,Interior del Santuario de la Virgen de la Costa,application/pdf,43.815833,7.773056,1912,Santuario,"San Remo, Italia",Ilustración a color del interior del Santuario de la Virgen de la Costa,It
020,C2-G2-020.pdf,Pintura de cerdos en óleo,application/pdf,50.115278,8.684167,1912,Globo aerostático; baño; edificios; peatones,"Frankfurt, Alemania",Ilustración a color de una pintura de cerdos en óleo,De
021,C2-G2-021.pdf,"""Señor, ¿a dónde vas?""",application/pdf,41.864161,12.493589,1912,Pasaje Bíblico,"Via Ardeatina 5, Roma",Ilustración a color de una pintura de Cristo,Fr
022,C2-G2-022.pdf,Noches en óleo,application/pdf,45.407969,11.885861,1912,Persona; mar,"Padua, Italia",Ilustración a color de una pintura de la noche en óleo,It
023,C2-G2-023.pdf,Pinacoteca de Brera,application/pdf,45.471955,9.187522,1912,Persona ,"Milán, Italia",Ilustración a color de una doncella en el pie de una iglesia,It
024,C2-G2-024.pdf,Oficial uniformado,application/pdf,41.902222,12.453333,1912,Persona,Ciudad del Vaticano,Ilustración a color de un oficial de uniformado,It
025,C2-G2-025.pdf,White Star Line,application/pdf,53.405471,-2.991572,1912,Personas,"Liverpool, Inglaterra",Fotografía sepia de una comida abordo del barco,En
026,C2-G2-026.pdf,White Star Line,application/pdf,53.405472,-2.991573,1912,Personas ,"Liverpool, Inglaterra",Fotografía sepia de personas abordo del barco,En
027,C2-G2-027.pdf,Jennie the old drum horse,application/pdf,51.0504,13.7373,1912,Persona parada con caballo,Inglaterra,Fotografía a color de un soldado con un caballo,En
028,C2-G2-028.pdf,Trooper and Bandsman ,application/pdf,51.0505,13.7374,1912,Dos soldados parados ,Inglaterra,Fotografía a color dos soldados parados,En
029,C2-G2-029.pdf,Royal Irish Lancers ,application/pdf,52.2053,0.1218,1912,Escuadron de soldados con banderas,Irlanda ,Fotografía a color de escuadron de soldados ,En
030,C2-G2-030.pdf,Army service corps ,application/pdf,51.5074,51.5074,1912,Dos soldados parados ,Irlanda ,Fotografía a color de dos soldados levantados ,En
031,C2-G2-031.pdf,Deutsche Armee Kunstler ,application/pdf,52.5200,13.4050,1912,Soldado montando en caballo ,Berlin,Fotografía a color de soldado montando su caballo,De
032,C2-G2-032.pdf,Arco della pace ,application/pdf,45.4064,11.8768,1912,Monumento arco de la paz ,"Milan, Italia ",Fotografía sepia de monumento ,It
033,C2-G2-033.pdf,Torre di S. Gottardo,application/pdf,45.3989,11.8733,1912,Catedral; edificios,"Milan, Italia ",Fotografía sepia de catedral,It
034,C2-G2-034.pdf,S.Pietro,application/pdf,45.4069,11.8802,1912,Edificio ,"Roma, Italia",Fotografía sepia de edifico ,It
035,C2-G2-035.pdf,San Giovanni Battista,application/pdf,43.8158,7.7749,1912,Pintura de una persona ,"Sanremo, Italia",Fotografía sepia de pintura ,It
036,C2-G2-036.pdf,S.Pietro da Porta Cavalleggeri,application/pdf,43.8113,7.7692,1912,Paisaje de edificios ,"Roma, Italia",Fotografía sepia paisaje de edificios ,It
037,C2-G2-037.pdf,Castel Sant Angelo e Ponte Elio,application/pdf,41.8545,12.5075,1912,Castillo ,"Roma, Italia",Fotografía sepia de castillo italiano,It
038,C2-G2-038.pdf,Porte Maggiore del duomo,application/pdf,43.8156,7.7676,1912,Puerta principal de edifico ,"Milan, Italia ",Fotografía sepia de puerta ,It
039,C2-G2-039.pdf,Abside del duomo,application/pdf,43.8124,7.7731,1912,Catedral; edificios,"Milan, Italia ",Fotografía sepia de catedral,It
040,C2-G2-040.pdf,Arco della pace ,application/pdf,45.4628,9.1881,1912,Monumento arco de la paz ,"Milan, Italia ",Fotografía sepia de monumento,It
041,C2-G2-041.pdf,Largo Cairolli e Monumento a G. Garibaldi,application/pdf,45.4595,9.1923,1912,Plaza; edificios; monumentos,"Milan, Italia ","Fotografía sepia de plaza central, monumentos ",It
042,C2-G2-042.pdf,Panorama,application/pdf,51.5072,0.1276,1912,"Ciudad, catedral","Milan, Italia ",Fotografía sepia ciudad con vista a catedral ,It
043,C2-G2-043.pdf,Piazza Scala e Monumento a Leonardo da Vinci,application/pdf,51.5073,0.1277,1912,"Plaza; edificios, monumentos, peatones","Milan, Italia ","Fotografía sepia de plaza central, monumentos ",It
044,C2-G2-044.pdf,Duomo - II Coro,application/pdf,45.4759,9.1722,1912,Interior catedral,"Milan, Italia ",Fotografía sepia interior de catedral ,It
045,C2-G2-045.pdf,El matrimonio de la virgen,application/pdf,51.5049,0.1342,1912,Personas; edificios,"Milan, Italia ",Ilustración sepia de una pintura del matrimonio de la Virgen,It
046,C2-G2-046.pdf,Urna de los santos ,application/pdf,53.3498,6.2603,1912,Interior; basilica; urna,"Milan, Italia ",Fotografía sepia de la urna de los santos dentro de la Basílica de San Ambrogio,It
047,C2-G2-047.pdf,Cripta de San Carlo,application/pdf,51.5074,0.1276,1912,Interior; catedral; cripta,"Milan, Italia ",Fotografía sepia de la cripta de San Carlo dentro de catedral,It
048,C2-G2-048.pdf,La mujer adúltera,application/pdf,51.5111,0.1319,1912,Personas,"Milan, Italia ",Ilustración sepia de una pintura de la mujer adúltera,It
049,C2-G2-049.pdf,Vista del gran claustro,application/pdf,52.5200,13.4050,1912,Edificio; personas,"Milan, Italia ",Fotografía sepia de un claustro de grandes dimensiones,It
050,C2-G2-050.pdf,La virgen y el niño con antonio,application/pdf,45.4759,9.1722,1912,Personas,"Milan, Italia ",Ilustración sepia de una pintura de la Virgen y el niño con Antonio,It
051,C2-G2-051.pdf,Palacio pretoriano hecho museo nacional,application/pdf,43.7792500,11.2462600,1912,Edificio,"Florencia, Italia ",Ilustración sepia de palacio pretoriano hecho museo nacional,It
052,C2-G2-052.pdf,Palacio ricardi,application/pdf,43.7792500,11.2462600,1912,Edificio,"Florencia, Italia ",Ilustración sepia de palacio ricardi,It
053,C2-G2-053.pdf,Logia de Santa Maria de la Misericordia,application/pdf,43.7792500,11.2462600,1912,Edificio,"Florencia, Italia ",Ilustración sepia de la logia de Santa Maria de la Misericordia dicho del bigallo,It
054,C2-G2-054.pdf,Los milagros de Jesús,application/pdf,51.5072,0.1276,1912,Jesús; personas,"Milan, Italia ",Ilustración sepia de una pintura de los milagros de Jesús,Es
055,C2-G2-055.pdf,Jesús curando enfermos,application/pdf,41.9023,12.4565,1912,Jesús; personas,"Milan, Italia ",Ilustración sepia de una pintura de Jesús practicando milagros en enfermos,Es
056,C2-G2-056.pdf,El milagro de la piscina,application/pdf,41.9030,12.4663,1912,Jesús; personas,"Milan, Italia ",Ilustración sepia de una pintura de Jesús y sus creyentes en una piscina,Es
057,C2-G2-057.pdf,Campanario de la catedral,application/pdf,43.7792500,11.2462600,1912,Catedral; edificios,"Florencia, Italia ",Ilustración sepia del campanario de una catedral en Florencia,It
058,C2-G2-058.pdf,El paralítico,application/pdf,45.4649,9.1901,1912,Jesús; personas,"Milan, Italia ",Ilustración sepia de una pintura de Jesús curando a un paralítico,Es
059,C2-G2-059.pdf,Vista del pequeño claustro,application/pdf,45.4759,9.1722,1912,Edificio,"Milan, Italia ",Fotografía sepia de un claustro de pequeñas dimensiones,It
060,C2-G2-060.pdf,Vistazo a la urna de los santos,application/pdf,53.3498,6.2603,1912,Interior basilica; urna,"Milan, Italia ",Fotografía sepia de la urna de los santos que se encuentra dentro de la Basílica de San Ambrogio,It
061,C2-G2-061.pdf,Cartuja monumental de Pavía,application/pdf,45.4064,9.187522,1912,Interior edificio; Monumento  ,"Milan, Italia ",Fotografía sepia de la cartuja monumental de Pavía referente a Ludovico Sforza y Beatrice de este,It
062,C2-G2-062.pdf,Altar de palio,application/pdf,45.4064,9.187522,1912,Interior edificio; Monumento,"Milan, Italia ",Fotografía sepia de la cartuja monumental de Pavía sobre el altar de palio,It
063,C2-G2-063.pdf,Porción de Stalli del coro,application/pdf,45.4064,9.187522,1912,Interior edificio; Monumento,"Milan, Italia ",Fotografía sepia de la cartuja monumental de Pavía sobre la porción de Stalli del coro,It
064,C2-G2-064.pdf,Mausoleo de Giovanni Galeazzo,application/pdf,45.4064,9.187522,1912,Interior edificio; Monumento,"Milan, Italia ",Fotografía sepia de la cartuja monumental de Pavía del mausoleo de Giovanni Galeazzo,It
065,C2-G2-065.pdf,monumento a Garibaldi en el monte janiculo,application/pdf,41.8545,12.5075,1912,Monumento; peatones; caballos; edificios,"Roma, Italia",Fotografía sepia del monumento a Garibaldi en el monte janiculo,It
066,C2-G2-066.pdf,Gendarme en uniforme completo,application/pdf,41.902222,12.453333,1912,Persona,Ciudad del Vaticano,Ilustración a color de un gendarme de la ciudad del Vaticano vistiendo su uniforme completo,It
067,C2-G2-067.pdf,Guardia suizo en uniforme bajo,application/pdf,45.4330,12.3257,1912,Persona,Ciudad del Vaticano,Ilustración a color de un guardia suizo de la ciudad del Vaticano vistiendo su uniforme bajo,It
068,C2-G2-068.pdf,El distribuidor,application/pdf,45.4294,12.3299,1912,Persona,Ciudad del Vaticano,Ilustración a color de un distribuidor visitiendo de negro,It
069,C2-G2-069.pdf,Oficial suizo en uniforme completo,application/pdf,45.4330,12.3257,1912,Persona,Ciudad del Vaticano,Ilustración a color de un ofocial suizo de la ciudad del Vaticano vistiendo su uniforme completo,It
070,C2-G2-070.pdf,Oficial de la guardia suiza en media gala,application/pdf,45.4294,12.3299,1912,Persona,Ciudad del Vaticano,Ilustración a color de un oficial de la guardia suiza en media gala,It
071,C2-G2-071.pdf,Palacio de doña Ana,application/pdf,40.8563100,14.2464100,1912,Edificios; personas; barcos,"Nápoles, Italia",Ilustración a color de una pintura del palacio de doña Ana junto al golfo de Nápoles,It
072,C2-G2-072.pdf,Callejón de la palma,application/pdf,43.8172500,7.7772000,1912,Edificios; personas,"San Remo, Italia",Ilustración a color de una pintura del callejón de la palma en la ciudad de San Remo,It
073,C2-G2-073.pdf,Vista del monte epomeo,application/pdf,40.7379299,13.9486184,1912,Personas; barcos; monte,"Isquia, Italia",Ilustración a color de una pintura del monte epomeo a la distancia,It
074,C2-G2-074.pdf,Familia frente a edificio,application/pdf,45.4343,12.3388,1912,Personas; edificios,"Venecia, Italia",Fotografía en blanco y negro de una familia posando frente a un edificio ,It
075,C2-G2-075.pdf,La familia real de Italia,application/pdf,45.4064,9.187522,1912,Personas; palomas,"Milan, Italia",Fotografía en blanco y negro de la familia real de Italia,It
076,C2-G2-076.pdf,La señora y las palomas,application/pdf,45.4064,9.187522,1912,Persona; palomas; edificios,Milan; Italia,Fotografía en blanco y negro de una señora siendo rodeada por palomas frente a un edificio,It
077,C2-G2-077.pdf,Jardin público,application/pdf,45.4643,9.1901,1912,Personas,"Milan, Italia",Fotografía en blanco y negro de un jardín público con mujeres sentadas en una banca,It
078,C2-G2-078.pdf,Virgen e hijo de la galeria Pitti,application/pdf,43.7792500,11.2462600,1912,Virgen; hijo,"Florencia, Italia",Ilustración sepia de una pintura de Van Dyck de la virgen y el hijo parte de la galeria Pitti,It
079,C2-G2-079.pdf,Niña con bastón,application/pdf,45.4667,9.1827,1912,Persona,"Milan, Italia",Fotografía sepia de una niña sosteniendo un bastón con grandes piedras de fondo,It
080,C2-G2-080.pdf,Señoras posando con palomas,application/pdf,45.4700,9.1950,1912,Personas; palomas; edificios,"Milan, Italia",Fotografía en blanco y negro de un par de señoras con palomas posadas en sus brazos ,It
081,C2-G2-081.pdf,Avenida emperatriz,application/pdf,43.8172500,7.7772000,1912,Edificios; personas; avenida,"San Remo, Italia",Fotografía blanco y negro de unos niños en la avenida emperatriz,It
082,C2-G2-082.pdf,Casino municipal,application/pdf,43.8172500,7.7772000,1912,Casino; edificios,"San Remo, Italia",Fotografía blanco y negro del casino municipal y sus alrededores,It
083,C2-G2-083.pdf,Vista panorámica de San Remo,application/pdf,43.8172500,7.7772000,1912,Edificios; puerto,"San Remo, Italia",Fotografía blanco y negro de una vista panorámica de la ciudad de San Remo,It
084,C2-G2-084.pdf,Hotel royal y su gran parque,application/pdf,43.8172500,7.7772000,1912,Hotel; edificio,"San Remo, Italia",Fotografía blanco y negro del hotel royal y un vistazo a su parque,It
085,C2-G2-085.pdf,Cena en el White Star Line,application/pdf,53.405472,-2.991573,1912,Personas,"Liverpool, Inglaterra",Fotografía sepia de ,It
086,C2-G2-086.pdf,El puerto,application/pdf,43.8172500,7.7772000,1912,Puerto; barco; edificios,"San Remo, Italia",Fotografía blanco y negro del puerto de San Remo y un barco de gran tamaño,It
087,C2-G2-087.pdf,Vista panorámica de edificios y hoteles de San Remo,application/pdf,43.8172500,7.7772000,1912,Edificios; hoteles,"San Remo, Italia",Fotografía blanco y negro de una vista panorámica de la zona hotelera de San Remo,It
088,C2-G2-088.pdf,Vista a Posillipo,application/pdf,40.8563100,14.2464100,1912,Edificios,"Nápoles, Italia",Fotografía blanco y negro del barrio de Posillipo,It
089,C2-G2-089.pdf,Fachada de la iglesia de las SS Nunziata,application/pdf,44.40478,8.94439,1912,Iglesia; caballos; personas,"Génova, Italia",Fotografía blanco y negro de la fachada de la iglesia de las SS Nunziata en Génova,It
090,C2-G2-090.pdf,Iglesia de la Inmaculada Concepción,application/pdf,44.40478,8.94439,1912,Iglesia; personas; edificios,"Génova, Italia",Fotografía blanco y negro de iglesia de la inmaculada Concepción vista desde la calle,It
091,C2-G2-091.pdf,Vista general del campo santo,application/pdf,44.40478,8.94439,1912,Cementerio; edificios,"Génova, Italia",Fotografía blanco y negro del campo santo de Génova,It
092,C2-G2-092.pdf,Vía San Carlo,application/pdf,40.8563100,14.2464100,1912,Personas; edificios; tranvía,"Nápoles, Italia",Fotografía blanco y negro de la circulación dentro de la vía de San Carlo,It
093,C2-G2-093.pdf,Rumbo del victorioso Emanuele,application/pdf,40.8563100,14.2464100,1912,Personas; edificios; tranvía,"Nápoles, Italia",Fotografía blanco y negro del rumbo del victorioso Emanuele por donde pasa un tranvía,It
094,C2-G2-094.pdf,Plaza de la victora,application/pdf,40.8563100,14.2464100,1912,Plaza; personas; edificios; tranvía,"Nápoles, Italia",Fotografía blanco y negro de la plaza de la victoria y sus alrededores,It
095,C2-G2-095.pdf,Hotel Carlton,application/pdf,48.8716907,2.3018218,1912,Hotel; personas; coches; caballos; Arco del Triunfo,"Paris, Francia",Ilustración sepia del hotel carlton en los campos eliseos junto al Arco del Triunfo,It
096,C2-G2-096.pdf,Palacio de Doña Ana en Posillipo,application/pdf,40.8563100,14.2464100,1912,Palacio; barcos; edificios,"Nápoles, Italia",Fotografía blanco y negro del palacio de Doña Ana en el barrio de Posillipo ,It
097,C2-G2-097.pdf,Castillo Marsaglia,application/pdf,43.8172500,7.7772000,1912,Castillo,"San Remo, Italia",Fotografía blanco y negro del castillo de Marsaglia en San Remo,It
098,C2-G2-098.pdf,Interior de la iglesia de la Nunziata,application/pdf,44.40478,8.94439,1912,Interior; Iglesia,"Génova, Italia",Ilustración blanco y negro del interior de la iglesia de la Nunziata de Génova,It
099,C2-G2-099.pdf,Virgen María con el hijo divino dormido,application/pdf,45.4064,9.187522,1912,Virgen María; hijo divino; ángeles,"Milan, Italia ",Ilustración sepia de una pintura de la virgen María y el hijo divino durmiendo en sus brazos con ángeles a su alrededor,It
100,C2-G2-100.pdf,Monumento de Dante junto a iglesia de San Croce,application/pdf,43.7792500,11.2462600,1912,Monumento; iglesia; edificios; personas,"Florencia, Italia ",Fotografía en blanco y negro del monumento a dante junto a la iglesia de San Croce en Florencia,It
